Favwon,Prior,Market,Bet,Kelly,Month,Numberofsets,Wrank,Lrank,Markettotal
1,0.822344442,-0.138270352,1,0.062540289,1,5,5,80,0.960614793
1,0.78938416,-0.088578966,1,0.006463904,1,5,2,25,0.877963126
0,0.510683049,-0.160638111,1,0.179835693,1,5,26,27,0.67132116
1,0.553815196,-0.150211839,1,0.31247565,1,5,8,38,0.704027035
1,0.53500112,-0.080383496,1,0.158071813,1,5,4,14,0.615384615
1,0.866645917,-0.062722113,1,0,1,5,1,13,0.92936803
1,0.70015517,-0.145868519,1,0.073587737,1,5,3,22,0.846023689
1,0.785698509,-0.145920645,1,0.071847503,1,5,2,26,0.931619154
1,0.512120438,-0.189929548,1,0.234632007,1,5,14,38,0.702049986
1,0.862824652,-0.089737741,1,0.009699973,1,5,1,15,0.952562393
1,0.624280339,-0.106606958,1,0.057111557,1,5,3,5,0.730887297
0,0.69754072,-0.078495288,1,0,1,5,2,38,0.776036008
0,0.718119258,-0.022841027,0,0,1,5,1,3,0.740960285
1,0.679661917,-0.055524085,1,0,1,5,3,38,0.735186002
1,0.713557147,0.079200385,1,0.30407075,1,3,111,111,0.634356762
1,0.510987496,-0.204934612,1,0.239039843,1,3,58,84,0.715922108
1,0.629348101,-0.230645019,1,0.192192361,1,3,21,113,0.85999312
1,0.620231589,-0.080342882,1,0.004625167,1,3,88,183,0.700574471
0,0.534443416,-0.157885578,1,0,1,3,52,106,0.692328995
0,0.527039034,-0.015142706,1,0,1,3,102,118,0.542181739
0,0.539916558,-0.140355551,1,0,1,3,86,105,0.680272109
1,0.579354931,-0.088558507,1,0.326091092,1,3,70,72,0.667913438
0,0.530776372,-0.104063649,1,0.084431392,1,3,25,104,0.63484002
1,0.505252808,-0.211490312,1,0.246438048,1,3,78,108,0.716743119
0,0.587267491,-0.039691756,0,0,1,3,41,76,0.626959248
1,0.719571833,-0.119072917,1,0.039610302,1,3,21,86,0.83864475
0,0.514291404,-0.266714532,1,0.318614627,1,3,58,171,0.781005936
1,0.704102598,-0.104697144,1,0.023147034,1,3,24,100,0.808799741
0,0.671699906,0.064461626,1,0,1,3,106,125,0.60723828
1,0.614503131,-0.134560539,1,0.088735823,1,3,104,289,0.74906367
0,0.559903608,-0.253104522,1,0,1,3,29,111,0.81300813
0,0.515907454,-0.143288327,1,0.155268856,1,3,76,78,0.659195781
0,0.557502262,-0.025860239,0,0,1,3,72,88,0.583362501
1,0.615712729,-0.139916711,1,0.478127004,2,3,58,111,0.755629439
1,0.774778468,-0.040882217,0,0,2,3,24,102,0.815660685
1,0.763890228,-0.054842374,0,0,2,3,21,106,0.818732602
0,0.53639098,-0.005438236,1,0,2,3,88,104,0.541829215
1,0.715171596,-0.095201176,1,0.012056893,2,3,24,78,0.810372771
1,0.71140118,-0.086810825,1,8.81266E-06,2,3,21,88,0.798212005
1,0.57257398,-0.21063404,1,0.201435461,2,3,24,111,0.78320802
1,0.648900537,-0.256076838,1,0.214643079,2,3,105,1401,0.904977376
1,0.547157109,-0.204383549,1,0.215814161,2,3,160,169,0.751540658
1,0.592797732,-0.138463694,1,0.105977144,2,3,112,181,0.731261426
1,0.64900074,-0.077532245,1,0,2,3,93,102,0.726532985
0,0.545705471,-0.141957849,1,0,2,3,26,52,0.68766332
0,0.507929017,-0.208814102,1,0.236297876,2,3,51,106,0.716743119
1,0.538591537,-0.10095822,1,0.203562508,2,3,98,101,0.639549757
0,0.578073188,-0.018852644,1,0,2,3,79,122,0.596925832
1,0.681314852,-0.030428921,0,0,2,3,21,61,0.711743772
0,0.583880894,-0.302120288,1,0,2,3,50,283,0.886001181
1,0.725722197,-0.198207585,1,0.139176807,2,3,77,399,0.923929781
1,0.846274933,-0.118045221,1,0.044259056,2,3,11,190,0.964320154
1,0.585030243,-0.243127107,1,0.479086675,2,3,33,154,0.82815735
1,0.535299266,-0.202817061,1,0.318871945,2,3,35,96,0.738116327
1,0.669829861,-0.076438796,1,0,2,3,18,68,0.746268657
1,0.78590945,0.012633855,1,0.211585174,2,3,17,67,0.773275595
1,0.71043524,-0.116694619,1,0.039941254,2,3,44,209,0.827129859
0,0.61487639,-0.214723742,1,0,2,3,111,351,0.829600133
0,0.539654787,-0.071312068,1,0,2,3,238,238,0.610966855
1,0.617868896,-0.055191848,0,0,2,3,109,189,0.673060744
0,0.75015864,-0.056553203,1,0,2,3,27,99,0.806711843
1,0.572221772,-0.130025419,1,0.099803538,2,3,53,82,0.702247191
1,0.563409226,-0.063707292,1,0.240329651,2,3,100,110,0.627116518
1,0.582193234,-0.063718147,1,0.304071073,2,3,92,117,0.645911381
0,0.567354622,-0.006500537,0,0,2,3,59,133,0.573855159
1,0.521900437,-0.107505404,1,0.14984406,2,3,42,76,0.629405841
0,0.640111211,0.063210322,1,0,2,3,70,89,0.576900888
1,0.68271575,-0.018055098,0,0.034880179,2,3,31,94,0.700770848
0,0.522688493,-0.047306947,0,0,2,3,129,174,0.56999544
0,0.598667898,0.045570553,1,0,2,3,81,108,0.553097345
